filename,fine_grained_class_index,subclass_name,coarse_grained_class_index,superclass_name
img_52,9,bottle,3,food_containers
img_53,57,pear,4,fruit_and_vegetables
img_54,2,baby,14,people
img_55,32,flatfish,1,fish
img_56,71,sea,10,large_natural_outdoor_scenes
img_57,52,oak_tree,17,trees
img_58,42,leopard,8,large_carnivores
img_59,69,rocket,19,vehicles_2
img_60,77,snail,13,non-insect_invertebrates
img_61,27,crocodile,15,reptiles
img_62,15,camel,11,large_omnivores_and_herbivores
img_63,65,rabbit,16,small_mammals
img_64,7,beetle,7,insects
img_65,35,girl,14,people
img_66,43,lion,8,large_carnivores
img_67,82,sunflower,2,flowers
img_68,63,porcupine,12,medium_mammals
img_69,92,tulip,2,flowers
img_70,66,raccoon,12,medium_mammals
img_71,90,train,18,vehicles_1
img_72,67,ray,1,fish
img_73,91,trout,1,fish
img_74,32,flatfish,1,fish
img_75,32,flatfish,1,fish
img_76,82,sunflower,2,flowers
img_77,10,bowl,3,food_containers
img_78,77,snail,13,non-insect_invertebrates
img_79,22,clock,5,household_electrical_devices
img_80,71,sea,10,large_natural_outdoor_scenes
img_81,78,snake,15,reptiles
img_82,54,orchid,2,flowers
img_83,6,bee,7,insects
img_84,29,dinosaur,15,reptiles
img_85,89,tractor,19,vehicles_2
img_86,78,snake,15,reptiles
img_87,33,forest,10,large_natural_outdoor_scenes
img_88,11,boy,14,people
img_89,67,ray,1,fish
img_90,22,clock,5,household_electrical_devices
img_91,18,caterpillar,7,insects
img_92,27,crocodile,15,reptiles
img_93,21,chimpanzee,11,large_omnivores_and_herbivores
img_94,13,bus,18,vehicles_1
img_95,21,chimpanzee,11,large_omnivores_and_herbivores
img_96,50,mouse,16,small_mammals
img_97,75,skunk,12,medium_mammals
img_98,37,house,9,large_man-made_outdoor_things
img_99,35,girl,14,people
img_100,26,crab,13,non-insect_invertebrates
img_101,83,sweet_pepper,4,fruit_and_vegetables
img_102,47,maple_tree,17,trees
img_103,95,whale,0,aquatic_mammals
img_104,43,lion,8,large_carnivores
img_105,69,rocket,19,vehicles_2
img_106,76,skyscraper,9,large_man-made_outdoor_things
img_107,17,castle,9,large_man-made_outdoor_things
img_108,57,pear,4,fruit_and_vegetables
img_109,59,pine_tree,17,trees
img_110,25,couch,6,household_furniture
img_111,20,chair,6,household_furniture
img_112,27,crocodile,15,reptiles
img_113,0,apple,4,fruit_and_vegetables
img_114,9,bottle,3,food_containers
img_115,71,sea,10,large_natural_outdoor_scenes
img_116,8,bicycle,18,vehicles_1
img_117,43,lion,8,large_carnivores
img_118,57,pear,4,fruit_and_vegetables
img_119,56,palm_tree,17,trees
img_120,85,tank,19,vehicles_2
img_121,10,bowl,3,food_containers
img_122,19,cattle,11,large_omnivores_and_herbivores
img_123,92,tulip,2,flowers
img_124,33,forest,10,large_natural_outdoor_scenes
img_125,20,chair,6,household_furniture
img_126,21,chimpanzee,11,large_omnivores_and_herbivores
img_127,50,mouse,16,small_mammals
img_128,70,rose,2,flowers
img_129,46,man,14,people
img_130,11,boy,14,people
img_131,16,can,3,food_containers
img_132,1,aquarium_fish,1,fish
img_133,74,shrew,16,small_mammals
img_134,33,forest,10,large_natural_outdoor_scenes
img_135,91,trout,1,fish
img_136,60,plain,10,large_natural_outdoor_scenes
img_137,64,possum,12,medium_mammals
img_138,52,oak_tree,17,trees
img_139,23,cloud,10,large_natural_outdoor_scenes
img_140,4,beaver,0,aquatic_mammals
img_141,11,boy,14,people
img_142,52,oak_tree,17,trees
img_143,37,house,9,large_man-made_outdoor_things
img_144,24,cockroach,7,insects
img_145,95,whale,0,aquatic_mammals
img_146,25,couch,6,household_furniture
img_147,39,keyboard,5,household_electrical_devices
img_148,51,mushroom,4,fruit_and_vegetables
img_149,58,pickup_truck,18,vehicles_1
img_150,58,pickup_truck,18,vehicles_1
img_151,77,snail,13,non-insect_invertebrates
img_152,18,caterpillar,7,insects
img_153,59,pine_tree,17,trees
img_154,45,lobster,13,non-insect_invertebrates
img_155,66,raccoon,12,medium_mammals
img_156,58,pickup_truck,18,vehicles_1
img_157,20,chair,6,household_furniture
img_158,24,cockroach,7,insects
img_159,4,beaver,0,aquatic_mammals
img_160,36,hamster,16,small_mammals
img_161,8,bicycle,18,vehicles_1
img_162,87,television,5,household_electrical_devices
img_163,10,bowl,3,food_containers
img_164,30,dolphin,0,aquatic_mammals
img_165,47,maple_tree,17,trees
img_166,54,orchid,2,flowers
img_167,99,worm,13,non-insect_invertebrates
img_168,51,mushroom,4,fruit_and_vegetables
img_169,83,sweet_pepper,4,fruit_and_vegetables
img_170,9,bottle,3,food_containers
img_171,37,house,9,large_man-made_outdoor_things
img_172,4,beaver,0,aquatic_mammals
img_173,83,sweet_pepper,4,fruit_and_vegetables
img_174,95,whale,0,aquatic_mammals
img_175,83,sweet_pepper,4,fruit_and_vegetables
img_176,32,flatfish,1,fish
img_177,73,shark,1,fish
img_178,18,caterpillar,7,insects
img_179,40,lamp,5,household_electrical_devices
img_180,39,keyboard,5,household_electrical_devices
img_181,64,possum,12,medium_mammals
img_182,22,clock,5,household_electrical_devices
img_183,80,squirrel,16,small_mammals
img_184,28,cup,3,food_containers
img_185,28,cup,3,food_containers
img_186,40,lamp,5,household_electrical_devices
img_187,95,whale,0,aquatic_mammals
img_188,98,woman,14,people
img_189,83,sweet_pepper,4,fruit_and_vegetables
img_190,12,bridge,9,large_man-made_outdoor_things
img_191,24,cockroach,7,insects
img_192,45,lobster,13,non-insect_invertebrates
img_193,13,bus,18,vehicles_1
img_194,94,wardrobe,6,household_furniture
img_195,24,cockroach,7,insects
img_196,58,pickup_truck,18,vehicles_1
img_197,63,porcupine,12,medium_mammals
img_198,7,beetle,7,insects
img_199,87,television,5,household_electrical_devices
img_200,6,bee,7,insects
img_201,78,snake,15,reptiles
img_202,68,road,9,large_man-made_outdoor_things
img_203,60,plain,10,large_natural_outdoor_scenes
img_204,6,bee,7,insects
img_205,23,cloud,10,large_natural_outdoor_scenes
img_206,44,lizard,15,reptiles
img_207,31,elephant,11,large_omnivores_and_herbivores
img_208,80,squirrel,16,small_mammals
img_209,93,turtle,15,reptiles
img_210,73,shark,1,fish
img_211,98,woman,14,people
img_212,49,mountain,10,large_natural_outdoor_scenes
img_213,90,train,18,vehicles_1
img_214,97,wolf,8,large_carnivores
img_215,59,pine_tree,17,trees
img_216,2,baby,14,people
img_217,67,ray,1,fish
img_218,16,can,3,food_containers
img_219,81,streetcar,19,vehicles_2
img_220,94,wardrobe,6,household_furniture
img_221,27,crocodile,15,reptiles
img_222,76,skyscraper,9,large_man-made_outdoor_things
img_223,77,snail,13,non-insect_invertebrates
img_224,12,bridge,9,large_man-made_outdoor_things
img_225,18,caterpillar,7,insects
img_226,0,apple,4,fruit_and_vegetables
img_227,76,skyscraper,9,large_man-made_outdoor_things
img_228,79,spider,13,non-insect_invertebrates
img_229,71,sea,10,large_natural_outdoor_scenes
img_230,89,tractor,19,vehicles_2
img_231,57,pear,4,fruit_and_vegetables
img_232,47,maple_tree,17,trees
img_233,24,cockroach,7,insects
img_234,65,rabbit,16,small_mammals
img_235,0,apple,4,fruit_and_vegetables
img_236,32,flatfish,1,fish
img_237,36,hamster,16,small_mammals
img_238,82,sunflower,2,flowers
img_239,31,elephant,11,large_omnivores_and_herbivores
img_240,23,cloud,10,large_natural_outdoor_scenes
img_241,24,cockroach,7,insects
img_242,34,fox,12,medium_mammals
img_243,21,chimpanzee,11,large_omnivores_and_herbivores
img_244,11,boy,14,people
img_245,53,orange,4,fruit_and_vegetables
img_246,80,squirrel,16,small_mammals
img_247,44,lizard,15,reptiles
img_248,4,beaver,0,aquatic_mammals
img_249,39,keyboard,5,household_electrical_devices
img_250,91,trout,1,fish
img_251,16,can,3,food_containers
img_252,36,hamster,16,small_mammals
img_253,68,road,9,large_man-made_outdoor_things
img_254,50,mouse,16,small_mammals
img_255,97,wolf,8,large_carnivores
img_256,58,pickup_truck,18,vehicles_1
img_257,31,elephant,11,large_omnivores_and_herbivores
img_258,6,bee,7,insects
img_259,42,leopard,8,large_carnivores
img_260,80,squirrel,16,small_mammals
img_261,76,skyscraper,9,large_man-made_outdoor_things
img_262,89,tractor,19,vehicles_2
img_263,55,otter,0,aquatic_mammals
img_264,19,cattle,11,large_omnivores_and_herbivores
img_265,91,trout,1,fish
img_266,70,rose,2,flowers
img_267,1,aquarium_fish,1,fish
img_268,6,bee,7,insects
img_269,62,poppy,2,flowers
img_270,99,worm,13,non-insect_invertebrates
img_271,51,mushroom,4,fruit_and_vegetables
img_272,96,willow_tree,17,trees
img_273,83,sweet_pepper,4,fruit_and_vegetables
img_274,42,leopard,8,large_carnivores
img_275,18,caterpillar,7,insects
img_276,67,ray,1,fish
img_277,66,raccoon,12,medium_mammals
img_278,40,lamp,5,household_electrical_devices
img_279,62,poppy,2,flowers
img_280,78,snake,15,reptiles
img_281,84,table,6,household_furniture
img_282,28,cup,3,food_containers
img_283,89,tractor,19,vehicles_2
img_284,30,dolphin,0,aquatic_mammals
img_285,66,raccoon,12,medium_mammals
img_286,18,caterpillar,7,insects
img_287,38,kangaroo,11,large_omnivores_and_herbivores
img_288,42,leopard,8,large_carnivores
img_289,92,tulip,2,flowers
img_290,27,crocodile,15,reptiles
img_291,11,boy,14,people
img_292,86,telephone,5,household_electrical_devices
img_293,44,lizard,15,reptiles
img_294,96,willow_tree,17,trees
img_295,12,bridge,9,large_man-made_outdoor_things
img_296,16,can,3,food_containers
img_297,67,ray,1,fish
img_298,43,lion,8,large_carnivores
img_299,89,tractor,19,vehicles_2
img_300,96,willow_tree,17,trees
img_301,12,bridge,9,large_man-made_outdoor_things
img_302,40,lamp,5,household_electrical_devices
img_303,7,beetle,7,insects
img_304,86,telephone,5,household_electrical_devices
img_305,77,snail,13,non-insect_invertebrates
img_306,76,skyscraper,9,large_man-made_outdoor_things
img_307,31,elephant,11,large_omnivores_and_herbivores
img_308,18,caterpillar,7,insects
img_309,28,cup,3,food_containers
img_310,19,cattle,11,large_omnivores_and_herbivores
img_311,18,caterpillar,7,insects
img_312,41,lawn_mower,19,vehicles_2
img_313,42,leopard,8,large_carnivores
img_314,43,lion,8,large_carnivores
img_315,31,elephant,11,large_omnivores_and_herbivores
img_316,93,turtle,15,reptiles
img_317,15,camel,11,large_omnivores_and_herbivores
img_318,10,bowl,3,food_containers
img_319,8,bicycle,18,vehicles_1
img_320,37,house,9,large_man-made_outdoor_things
img_321,89,tractor,19,vehicles_2
img_322,32,flatfish,1,fish
img_323,67,ray,1,fish
img_324,12,bridge,9,large_man-made_outdoor_things
img_325,2,baby,14,people
img_326,19,cattle,11,large_omnivores_and_herbivores
img_327,91,trout,1,fish
img_328,94,wardrobe,6,household_furniture
img_329,7,beetle,7,insects
img_330,71,sea,10,large_natural_outdoor_scenes
img_331,36,hamster,16,small_mammals
img_332,61,plate,3,food_containers
img_333,62,poppy,2,flowers
img_334,5,bed,6,household_furniture
img_335,60,plain,10,large_natural_outdoor_scenes
img_336,45,lobster,13,non-insect_invertebrates
img_337,91,trout,1,fish
img_338,34,fox,12,medium_mammals
img_339,95,whale,0,aquatic_mammals
img_340,9,bottle,3,food_containers
img_341,40,lamp,5,household_electrical_devices
img_342,68,road,9,large_man-made_outdoor_things
img_343,62,poppy,2,flowers
img_344,99,worm,13,non-insect_invertebrates
img_345,66,raccoon,12,medium_mammals
img_346,46,man,14,people
img_347,7,beetle,7,insects
img_348,10,bowl,3,food_containers
img_349,10,bowl,3,food_containers
img_350,68,road,9,large_man-made_outdoor_things
img_351,34,fox,12,medium_mammals
img_352,37,house,9,large_man-made_outdoor_things
img_353,58,pickup_truck,18,vehicles_1
img_354,48,motorcycle,18,vehicles_1
img_355,40,lamp,5,household_electrical_devices
img_356,96,willow_tree,17,trees
img_357,14,butterfly,7,insects
img_358,11,boy,14,people
img_359,66,raccoon,12,medium_mammals
img_360,64,possum,12,medium_mammals
img_361,39,keyboard,5,household_electrical_devices
img_362,33,forest,10,large_natural_outdoor_scenes
img_363,94,wardrobe,6,household_furniture
img_364,63,porcupine,12,medium_mammals
img_365,10,bowl,3,food_containers
img_366,89,tractor,19,vehicles_2
img_367,92,tulip,2,flowers
img_368,90,train,18,vehicles_1
img_369,65,rabbit,16,small_mammals
img_370,90,train,18,vehicles_1
img_371,33,forest,10,large_natural_outdoor_scenes
img_372,28,cup,3,food_containers
img_373,29,dinosaur,15,reptiles
img_374,87,television,5,household_electrical_devices
img_375,86,telephone,5,household_electrical_devices
img_376,7,beetle,7,insects
img_377,0,apple,4,fruit_and_vegetables
img_378,94,wardrobe,6,household_furniture
img_379,11,boy,14,people
img_380,26,crab,13,non-insect_invertebrates
img_381,6,bee,7,insects
img_382,41,lawn_mower,19,vehicles_2
img_383,21,chimpanzee,11,large_omnivores_and_herbivores
img_384,69,rocket,19,vehicles_2
img_385,27,crocodile,15,reptiles
img_386,29,dinosaur,15,reptiles
img_387,67,ray,1,fish
img_388,85,tank,19,vehicles_2
img_389,65,rabbit,16,small_mammals
img_390,40,lamp,5,household_electrical_devices
img_391,57,pear,4,fruit_and_vegetables
img_392,72,seal,0,aquatic_mammals
img_393,30,dolphin,0,aquatic_mammals
img_394,74,shrew,16,small_mammals
img_395,27,crocodile,15,reptiles
img_396,3,bear,8,large_carnivores
img_397,49,mountain,10,large_natural_outdoor_scenes
img_398,52,oak_tree,17,trees
img_399,95,whale,0,aquatic_mammals
img_400,40,lamp,5,household_electrical_devices
img_401,93,turtle,15,reptiles
img_402,77,snail,13,non-insect_invertebrates
img_403,91,trout,1,fish
img_404,6,bee,7,insects
img_405,57,pear,4,fruit_and_vegetables
img_406,72,seal,0,aquatic_mammals
img_407,16,can,3,food_containers
img_408,98,woman,14,people
img_409,89,tractor,19,vehicles_2
img_410,40,lamp,5,household_electrical_devices
img_411,96,willow_tree,17,trees
img_412,71,sea,10,large_natural_outdoor_scenes
img_413,3,bear,8,large_carnivores
img_414,2,baby,14,people
img_415,66,raccoon,12,medium_mammals
img_416,27,crocodile,15,reptiles
img_417,8,bicycle,18,vehicles_1
img_418,53,orange,4,fruit_and_vegetables
img_419,33,forest,10,large_natural_outdoor_scenes
img_420,55,otter,0,aquatic_mammals
img_421,81,streetcar,19,vehicles_2
img_422,88,tiger,8,large_carnivores
img_423,96,willow_tree,17,trees
img_424,68,road,9,large_man-made_outdoor_things
img_425,42,leopard,8,large_carnivores
img_426,77,snail,13,non-insect_invertebrates
img_427,10,bowl,3,food_containers
img_428,27,crocodile,15,reptiles
img_429,32,flatfish,1,fish
img_430,79,spider,13,non-insect_invertebrates
img_431,98,woman,14,people
img_432,18,caterpillar,7,insects
img_433,51,mushroom,4,fruit_and_vegetables
img_434,2,baby,14,people
img_435,19,cattle,11,large_omnivores_and_herbivores
img_436,31,elephant,11,large_omnivores_and_herbivores
img_437,67,ray,1,fish
img_438,36,hamster,16,small_mammals
img_439,10,bowl,3,food_containers
img_440,16,can,3,food_containers
img_441,5,bed,6,household_furniture
img_442,81,streetcar,19,vehicles_2
img_443,85,tank,19,vehicles_2
img_444,26,crab,13,non-insect_invertebrates
img_445,85,tank,19,vehicles_2
img_446,65,rabbit,16,small_mammals
img_447,22,clock,5,household_electrical_devices
img_448,55,otter,0,aquatic_mammals
img_449,85,tank,19,vehicles_2
img_450,22,clock,5,household_electrical_devices
img_451,22,clock,5,household_electrical_devices
img_452,10,bowl,3,food_containers
img_453,18,caterpillar,7,insects
img_454,98,woman,14,people
img_455,9,bottle,3,food_containers
img_456,26,crab,13,non-insect_invertebrates
img_457,27,crocodile,15,reptiles
img_458,7,beetle,7,insects
img_459,5,bed,6,household_furniture
img_460,58,pickup_truck,18,vehicles_1
img_461,87,television,5,household_electrical_devices
img_462,76,skyscraper,9,large_man-made_outdoor_things
img_463,2,baby,14,people
img_464,54,orchid,2,flowers
img_465,38,kangaroo,11,large_omnivores_and_herbivores
img_466,33,forest,10,large_natural_outdoor_scenes
img_467,17,castle,9,large_man-made_outdoor_things
img_468,6,bee,7,insects
img_469,0,apple,4,fruit_and_vegetables
img_470,79,spider,13,non-insect_invertebrates
img_471,97,wolf,8,large_carnivores
img_472,14,butterfly,7,insects
img_473,14,butterfly,7,insects
img_474,73,shark,1,fish
img_475,79,spider,13,non-insect_invertebrates
img_476,8,bicycle,18,vehicles_1
img_477,42,leopard,8,large_carnivores
img_478,4,beaver,0,aquatic_mammals
img_479,25,couch,6,household_furniture
img_480,37,house,9,large_man-made_outdoor_things
img_481,75,skunk,12,medium_mammals
img_482,74,shrew,16,small_mammals
img_483,41,lawn_mower,19,vehicles_2
img_484,0,apple,4,fruit_and_vegetables
img_485,99,worm,13,non-insect_invertebrates
img_486,79,spider,13,non-insect_invertebrates
img_487,87,television,5,household_electrical_devices
img_488,67,ray,1,fish
img_489,72,seal,0,aquatic_mammals
img_490,38,kangaroo,11,large_omnivores_and_herbivores
img_491,25,couch,6,household_furniture
img_492,49,mountain,10,large_natural_outdoor_scenes
img_493,3,bear,8,large_carnivores
img_494,74,shrew,16,small_mammals
img_495,69,rocket,19,vehicles_2
img_496,36,hamster,16,small_mammals
img_497,77,snail,13,non-insect_invertebrates
img_498,89,tractor,19,vehicles_2
img_499,71,sea,10,large_natural_outdoor_scenes
img_500,31,elephant,11,large_omnivores_and_herbivores
img_501,50,mouse,16,small_mammals
img_502,90,train,18,vehicles_1
img_503,11,boy,14,people
img_504,2,baby,14,people
img_505,41,lawn_mower,19,vehicles_2
img_506,38,kangaroo,11,large_omnivores_and_herbivores
img_507,58,pickup_truck,18,vehicles_1
img_508,47,maple_tree,17,trees
img_509,93,turtle,15,reptiles
img_510,68,road,9,large_man-made_outdoor_things
img_511,11,boy,14,people
img_512,35,girl,14,people
img_513,67,ray,1,fish
img_514,54,orchid,2,flowers
img_515,53,orange,4,fruit_and_vegetables
img_516,30,dolphin,0,aquatic_mammals
img_517,36,hamster,16,small_mammals
img_518,83,sweet_pepper,4,fruit_and_vegetables
img_519,54,orchid,2,flowers
img_520,64,possum,12,medium_mammals
img_521,46,man,14,people
img_522,45,lobster,13,non-insect_invertebrates
img_523,98,woman,14,people
img_524,62,poppy,2,flowers
img_525,46,man,14,people
img_526,95,whale,0,aquatic_mammals
img_527,88,tiger,8,large_carnivores
img_528,37,house,9,large_man-made_outdoor_things
img_529,18,caterpillar,7,insects
img_530,29,dinosaur,15,reptiles
img_531,63,porcupine,12,medium_mammals
img_532,8,bicycle,18,vehicles_1
img_533,33,forest,10,large_natural_outdoor_scenes
img_534,35,girl,14,people
img_535,6,bee,7,insects
img_536,76,skyscraper,9,large_man-made_outdoor_things
img_537,19,cattle,11,large_omnivores_and_herbivores
img_538,99,worm,13,non-insect_invertebrates
img_539,53,orange,4,fruit_and_vegetables
img_540,15,camel,11,large_omnivores_and_herbivores
img_541,57,pear,4,fruit_and_vegetables
img_542,2,baby,14,people
img_543,27,crocodile,15,reptiles
img_544,27,crocodile,15,reptiles
img_545,93,turtle,15,reptiles
img_546,81,streetcar,19,vehicles_2
img_547,54,orchid,2,flowers
img_548,71,sea,10,large_natural_outdoor_scenes
img_549,26,crab,13,non-insect_invertebrates
img_550,25,couch,6,household_furniture
img_551,35,girl,14,people
img_552,30,dolphin,0,aquatic_mammals
img_553,72,seal,0,aquatic_mammals
img_554,8,bicycle,18,vehicles_1
img_555,42,leopard,8,large_carnivores
img_556,62,poppy,2,flowers
img_557,56,palm_tree,17,trees
img_558,78,snake,15,reptiles
img_559,47,maple_tree,17,trees
img_560,73,shark,1,fish
img_561,43,lion,8,large_carnivores
img_562,20,chair,6,household_furniture
img_563,83,sweet_pepper,4,fruit_and_vegetables
img_564,63,porcupine,12,medium_mammals
img_565,49,mountain,10,large_natural_outdoor_scenes
img_566,28,cup,3,food_containers
img_567,26,crab,13,non-insect_invertebrates
img_568,45,lobster,13,non-insect_invertebrates
img_569,36,hamster,16,small_mammals
img_570,36,hamster,16,small_mammals
img_571,68,road,9,large_man-made_outdoor_things
img_572,1,aquarium_fish,1,fish
img_573,2,baby,14,people
img_574,99,worm,13,non-insect_invertebrates
img_575,9,bottle,3,food_containers
img_576,65,rabbit,16,small_mammals
img_577,38,kangaroo,11,large_omnivores_and_herbivores
img_578,58,pickup_truck,18,vehicles_1
img_579,96,willow_tree,17,trees
img_580,38,kangaroo,11,large_omnivores_and_herbivores
img_581,87,television,5,household_electrical_devices
img_582,82,sunflower,2,flowers
img_583,22,clock,5,household_electrical_devices
img_584,83,sweet_pepper,4,fruit_and_vegetables
img_585,41,lawn_mower,19,vehicles_2
img_586,7,beetle,7,insects
img_587,12,bridge,9,large_man-made_outdoor_things
img_588,10,bowl,3,food_containers
img_589,35,girl,14,people
img_590,44,lizard,15,reptiles
img_591,81,streetcar,19,vehicles_2
img_592,91,trout,1,fish
img_593,56,palm_tree,17,trees
img_594,9,bottle,3,food_containers
img_595,24,cockroach,7,insects
img_596,3,bear,8,large_carnivores
img_597,30,dolphin,0,aquatic_mammals
img_598,1,aquarium_fish,1,fish
img_599,39,keyboard,5,household_electrical_devices
img_600,98,woman,14,people
img_601,72,seal,0,aquatic_mammals
img_602,83,sweet_pepper,4,fruit_and_vegetables
img_603,80,squirrel,16,small_mammals
img_604,43,lion,8,large_carnivores
img_605,84,table,6,household_furniture
img_606,66,raccoon,12,medium_mammals
img_607,4,beaver,0,aquatic_mammals
img_608,64,possum,12,medium_mammals
img_609,77,snail,13,non-insect_invertebrates
img_610,98,woman,14,people
img_611,82,sunflower,2,flowers
img_612,81,streetcar,19,vehicles_2
img_613,20,chair,6,household_furniture
img_614,0,apple,4,fruit_and_vegetables
img_615,48,motorcycle,18,vehicles_1
img_616,46,man,14,people
img_617,33,forest,10,large_natural_outdoor_scenes
img_618,22,clock,5,household_electrical_devices
img_619,13,bus,18,vehicles_1
img_620,17,castle,9,large_man-made_outdoor_things
img_621,39,keyboard,5,household_electrical_devices
img_622,76,skyscraper,9,large_man-made_outdoor_things
img_623,0,apple,4,fruit_and_vegetables
img_624,17,castle,9,large_man-made_outdoor_things
img_625,64,possum,12,medium_mammals
img_626,48,motorcycle,18,vehicles_1
img_627,90,train,18,vehicles_1
img_628,93,turtle,15,reptiles
img_629,82,sunflower,2,flowers
img_630,75,skunk,12,medium_mammals
img_631,96,willow_tree,17,trees
img_632,97,wolf,8,large_carnivores
img_633,3,bear,8,large_carnivores
img_634,83,sweet_pepper,4,fruit_and_vegetables
img_635,60,plain,10,large_natural_outdoor_scenes
img_636,61,plate,3,food_containers
img_637,32,flatfish,1,fish
img_638,26,crab,13,non-insect_invertebrates
img_639,84,table,6,household_furniture
img_640,41,lawn_mower,19,vehicles_2
img_641,12,bridge,9,large_man-made_outdoor_things
img_642,85,tank,19,vehicles_2
img_643,12,bridge,9,large_man-made_outdoor_things
img_644,8,bicycle,18,vehicles_1
img_645,82,sunflower,2,flowers
img_646,72,seal,0,aquatic_mammals
img_647,94,wardrobe,6,household_furniture
img_648,7,beetle,7,insects
img_649,22,clock,5,household_electrical_devices
img_650,15,camel,11,large_omnivores_and_herbivores
img_651,66,raccoon,12,medium_mammals
img_652,89,tractor,19,vehicles_2
img_653,97,wolf,8,large_carnivores
img_654,19,cattle,11,large_omnivores_and_herbivores
img_655,0,apple,4,fruit_and_vegetables
img_656,19,cattle,11,large_omnivores_and_herbivores
img_657,5,bed,6,household_furniture
img_658,56,palm_tree,17,trees
img_659,36,hamster,16,small_mammals
img_660,45,lobster,13,non-insect_invertebrates
img_661,1,aquarium_fish,1,fish
img_662,94,wardrobe,6,household_furniture
img_663,66,raccoon,12,medium_mammals
img_664,86,telephone,5,household_electrical_devices
img_665,82,sunflower,2,flowers
img_666,17,castle,9,large_man-made_outdoor_things
img_667,64,possum,12,medium_mammals
img_668,99,worm,13,non-insect_invertebrates
img_669,34,fox,12,medium_mammals
img_670,30,dolphin,0,aquatic_mammals
img_671,73,shark,1,fish
img_672,83,sweet_pepper,4,fruit_and_vegetables
img_673,6,bee,7,insects
img_674,1,aquarium_fish,1,fish
img_675,28,cup,3,food_containers
img_676,77,snail,13,non-insect_invertebrates
img_677,91,trout,1,fish
img_678,74,shrew,16,small_mammals
img_679,68,road,9,large_man-made_outdoor_things
img_680,14,butterfly,7,insects
img_681,14,butterfly,7,insects
img_682,1,aquarium_fish,1,fish
img_683,92,tulip,2,flowers
img_684,97,wolf,8,large_carnivores
img_685,45,lobster,13,non-insect_invertebrates
img_686,7,beetle,7,insects
img_687,21,chimpanzee,11,large_omnivores_and_herbivores
img_688,37,house,9,large_man-made_outdoor_things
img_689,32,flatfish,1,fish
img_690,73,shark,1,fish
img_691,88,tiger,8,large_carnivores
img_692,86,telephone,5,household_electrical_devices
img_693,92,tulip,2,flowers
img_694,14,butterfly,7,insects
img_695,86,telephone,5,household_electrical_devices
img_696,74,shrew,16,small_mammals
img_697,25,couch,6,household_furniture
img_698,93,turtle,15,reptiles
img_699,78,snake,15,reptiles
img_700,77,snail,13,non-insect_invertebrates
img_701,88,tiger,8,large_carnivores
img_702,42,leopard,8,large_carnivores
img_703,10,bowl,3,food_containers
img_704,65,rabbit,16,small_mammals
img_705,26,crab,13,non-insect_invertebrates
img_706,31,elephant,11,large_omnivores_and_herbivores
img_707,85,tank,19,vehicles_2
img_708,78,snake,15,reptiles
img_709,29,dinosaur,15,reptiles
img_710,32,flatfish,1,fish
img_711,81,streetcar,19,vehicles_2
img_712,97,wolf,8,large_carnivores
img_713,1,aquarium_fish,1,fish
img_714,82,sunflower,2,flowers
img_715,0,apple,4,fruit_and_vegetables
img_716,21,chimpanzee,11,large_omnivores_and_herbivores
img_717,15,camel,11,large_omnivores_and_herbivores
